,Descripción,producto,precio
0,"¡Producto solidario! El 10% del precio de venta de este producto zoolove se dona a una protectora de animales. Rascador fijable al suelo, a la pared o a la esquina, con colgante en forma de corazón.",zoolove tabla rascador 3 en 1 para gatos,"12,99 €"
1,"Rascador con forma de cuña de queso, de cartón corrugado, para rascar, jugar y dormir durante horas. Con menta para gatos (catnip), tu gato no se podrá resistir.",Rascador de cartón Cheesy para gatos,"12,99 €"
2,"Bloque de cartón corrugado duradero y reversible, con menta para gatos. Satisface el instinto de afilarse las garras y protege tus muebles de arañazos.",Bloque rascador Multi-Scratch de cartón,"9,99 €"
3,"Rascador para gatos y juego de inteligencia en uno, superficie de cartón corrugado para afilarse las uñas, con dos pelotas con cascabeles en el interior y varios orificios.",Rascador de cartón Scratch & Play para gatos,"9,99 €"
4,"Rascador para gatos, compacto y completo: con una acogedora cueva para descansar y dos plataformas desde las que observar. Medidas: 71 x 44 x 33 cm (Al x L x An).",Rascador Oasis para gatos,"4,99 €"
5,"Rascador para gatos, con túnel para jugar y múltiples opciones para descansar y dormir, con 5 postes de sisal gruesos, ideal para gatitos y gatos grandes o mayores. Medidas: 116x55x40 cm (AlxLxAn).",Rascador Penélope para gatos,"4,99 €"
6,"¡Producto solidario! El 10% del precio de venta de este producto zoolove se dona a una protectora de animales. Rascador decorativo de 2 piezas, con gran superficie para afilarse las uñas y descansar.",zoolove rascador de cartón 2 en 1 para gatos,"8,49 €"
7,"¡Producto solidario! El 10 % del precio de venta de este producto zoolove se dona a una protectora de animales. Rascador robusto de cartón corrugado reciclable, con ratón de juguete incluido.",zoolove rascador Cúpula para gatos,"34,49 €"
8,"Consiste en una columna envuelta en sisal y con una longitud muy adecuada. Ocupa poco espacio y es muy resistente.
Altura total: 80 cm.",Poste para gatos Olga,"34,49 €"
9,Tabla rascador para gatos ideal para complementar el rascador convencional. Hecha de cartón corrugado resistente y duradero. Es ideal para afilarse las garras. Incluye además una bolsita de catnip.,Tabla rascador de cartón Ola para gatos,"43,99 €"
10,Tabla rascador para gatos que ocupa muy poco espacio y se puede regular en altura. Fácil de montar en cualquier pared. Con superficie de sisal natural y resistente.,Tabla rascador Trixie con sisal para gatos,"43,99 €"
11,Sujeción universal para fijar los rascadores a la pared. Es de metal y garantiza la estabilidad en los rascadores. Le dará a tu gato la seguridad necesaria para que no se caiga. Color: blanco.,Sujeción universal para rascadores de gatos,"13,79 €"
12,"Rascador para gatos, 100 % de cartón reciclable, con forma de chaise longue, colores discretos, se puede usar por ambos lados, ideal también como superficie de descanso, incluye catnip.

 ",Tabla rascador Cosma para gatos,"13,79 €"
13,"¿No es genial esta unión cama-rascador? Forrada con un encantador diseño de mariposas, tamaño donde caben hasta los más grandes. Un sitio genial para rascar y sestear. Con catnip.",Rascador Relax cama para gatos,"12,99 €"
14,"Rascador con postes supergruesos, paredes de cueva de listones de madera sólida de abedul de bosques de gestión sostenible y tejidos con certificado Oeko-Tex®, para gatos pesados. Altura: 175 cm",Rascador Natural Paradise Magnolia XL Plus para gatos,"12,99 €"
15,"Rascador para gatos con plataformas de madera laminada, cojines acolchados y cama antideslizante, postes cuadrangulares para rascar y tapicería separable y lavable. Medidas: 103 x 68 x 38 cm (AlxLxAn)",Rascador Natural Paradise Orchid M para gatos,"21,99 €"
16,"Rascador para gatos con 2 casitas y 3 plataformas, numerosas opciones para descansar, jugar y afilarse las garras, ideal para gatos grandes o para varios gatos. Medidas: 181 x 60 x 50 cm (Al x L x An)",Rascador Rapunzel para gatos,"21,99 €"
17,"Un juguete con catnip, para colocar en la columna de sisal que convierte al rascador en un lugar de juegos. Para más diversión y variedad.",Juguete para el rascador,"7,99 €"
